FIRM,ESTAB,EMP,FIRMDEATH_FIRMS,ESTABS_ENTRY,ESTABS_EXIT,JOB_CREATION,JOB_DESTRUCTION,NET_JOB_CREATION,YEAR,state,STARTUP_RATE,EXIT_RATE,JOB_CREATION_RATE,JOB_DESTRUCTION_RATE,FIRM_DEATH_RATE,STATE_NAME
81195,96461,1583659,7434,13726,10875,314047,191455,122592,1978,29,14.23,11.27,19.83,12.09,9.16,Missouri
17389,19829,198307,1642,3377,2300,51199,28203,22996,1978,30,17.03,11.6,25.82,14.22,9.44,Montana
31277,36112,459822,2636,4602,3668,84095,61652,22443,1978,31,12.74,10.16,18.29,13.41,8.43,Nebraska
14693,16670,289041,1419,3510,2038,81731,35019,46712,1978,32,21.06,12.23,28.28,12.12,9.66,Nevada
17626,19679,294283,1394,3093,1946,63203,31145,32058,1978,33,15.72,9.89,21.48,10.58,7.91,New Hampshire
129443,147200,2435533,10250,19079,15243,454891,334257,120634,1978,34,12.96,10.36,18.68,13.72,7.92,New Jersey
22404,25960,312199,2449,4897,3389,82188,48848,33340,1978,35,18.86,13.05,26.33,15.65,10.93,New Mexico
313829,354784,5622295,28719,43378,40154,993881,790042,203839,1978,36,12.23,11.32,17.68,14.05,9.15,New York
88862,107473,1877946,7755,15615,11236,333741,199789,133952,1978,37,14.53,10.45,17.77,10.64,8.73,North Carolina
13253,15036,157288,1073,2051,1494,33026,18756,14270,1978,38,13.64,9.94,21.0,11.92,8.1,North Dakota
155785,193682,3644556,12243,23931,18732,629817,429331,200486,1978,39,12.36,9.67,17.28,11.78,7.86,Ohio
52011,60463,800001,5679,9936,7639,182150,114337,67813,1978,40,16.43,12.63,22.77,14.29,10.92,Oklahoma
50134,58004,797370,4677,10559,6391,200006,91678,108328,1978,41,18.2,11.02,25.08,11.5,9.33,Oregon
177755,212489,3872342,13491,24971,20618,673621,529339,144282,1978,42,11.75,9.7,17.4,13.67,7.59,Pennsylvania
18114,20109,326647,1371,2448,1925,61988,39618,22370,1978,44,12.17,9.57,18.98,12.13,7.57,Rhode Island
44597,52951,927955,3942,8137,5660,168463,99441,69022,1978,45,15.37,10.69,18.15,10.72,8.84,South Carolina
14270,16019,171583,1179,2290,1671,38175,18688,19487,1978,46,14.3,10.43,22.25,10.89,8.26,South Dakota
67822,80745,1386102,6432,12033,9286,276422,170588,105834,1978,47,14.9,11.5,19.94,12.31,9.48,Tennessee
226949,278634,4427639,23333,48499,33395,1073897,639871,434026,1978,48,17.41,11.99,24.25,14.45,10.28,Texas
23313,26937,399727,2177,5022,3066,106034,55706,50328,1978,49,18.64,11.38,26.53,13.94,9.34,Utah
10924,12110,158542,843,1880,1137,33700,21298,12402,1978,50,15.52,9.39,21.26,13.43,7.72,Vermont
76561,92935,1500787,6309,13601,9532,304422,195204,109218,1978,51,14.63,10.26,20.28,13.01,8.24,Virginia
71790,84155,1148722,6266,15036,8924,275555,143348,132207,1978,53,17.87,10.6,23.99,12.48,8.73,Washington
26630,31049,459189,2340,4099,3524,75693,70442,5251,1978,54,13.2,11.35,16.48,15.34,8.79,West Virginia
79045,91352,1550824,5639,11927,8109,271032,152152,118880,1978,55,13.06,8.88,17.48,9.81,7.13,Wisconsin
10475,11699,131779,979,2308,1394,41753,19337,22416,1978,56,19.73,11.92,31.68,14.67,9.35,Wyoming
56228,67501,1088895,5572,9483,7685,215875,158362,57513,1979,1,14.05,11.39,19.83,14.54,9.91,Alabama
7330,8638,109325,950,1651,1468,27226,26129,1097,1979,2,19.11,16.99,24.9,23.9,12.96,Alaska
42672,51555,797124,4756,9015,6567,194973,106488,88485,1979,4,17.49,12.74,24.46,13.36,11.15,Arizona
37386,42835,604694,3965,6192,5293,106054,80932,25122,1979,5,14.46,12.36,17.54,13.38,10.61,Arkansas
411751,494207,8055808,38666,81147,55858,1764445,1097077,667368,1979,6,16.42,11.3,21.9,13.62,9.39,California
58728,68332,1024746,6357,11656,8861,230939,138009,92930,1979,8,17.06,12.97,22.54,13.47,10.82,Colorado
58441,66553,1257041,3754,7652,5504,200468,121736,78732,1979,9,11.5,8.27,15.95,9.68,6.42,Connecticut
10315,11933,229056,747,1533,1115,32761,24148,8613,1979,10,12.85,9.34,14.3,10.54,7.24,Delaware
13699,15681,340080,1136,1948,1665,56718,34624,22094,1979,11,12.42,10.62,16.68,10.18,8.29,District of Columbia
175106,208860,2892892,17519,35596,24357,646628,423674,222954,1979,12,17.04,11.66,22.35,14.65,10.0,Florida
84883,104003,1722024,8197,15141,11623,308430,236962,71468,1979,13,14.56,11.18,17.91,13.76,9.66,Georgia
16762,20212,303881,1354,3149,1967,57728,37726,20002,1979,15,15.58,9.73,19.0,12.41,8.08,Hawaii
17785,20638,247294,2061,3132,2756,48629,43126,5503,1979,16,15.18,13.35,19.66,17.44,11.59,Idaho
182534,213831,4242270,14840,25206,21662,706669,539918,166751,1979,17,11.79,10.13,16.66,12.73,8.13,Illinois
83761,100890,1899685,6726,11937,9351,291225,197716,93509,1979,18,11.83,9.27,15.33,10.41,8.03,Indiana
56781,66573,916837,4938,7707,6734,147559,110026,37533,1979,19,11.58,10.12,16.09,12.0,8.7,Iowa
47453,55404,764404,4038,7035,5652,139232,90786,48446,1979,20,12.7,10.2,18.21,11.88,8.51,Kansas
53174,62427,980895,4641,8408,6420,174772,123085,51687,1979,21,13.47,10.28,17.82,12.55,8.73,Kentucky
64268,76337,1247949,5806,11485,7963,261491,177780,83711,1979,22,15.05,10.43,20.95,14.25,9.03,Louisiana
20418,23353,321433,1716,3013,2358,52069,37796,14273,1979,23,12.9,10.1,16.2,11.76,8.4,Maine
61656,73647,1266495,4781,9414,6949,222237,154207,68030,1979,24,12.78,9.44,17.55,12.18,7.75,Maryland
98318,114014,2218527,6879,12647,10194,375596,239004,136592,1979,25,11.09,8.94,16.93,10.77,7.0,Massachusetts
131082,156702,3115852,10324,18755,14759,502027,335396,166631,1979,26,11.97,9.42,16.11,10.76,7.88,Michigan
70716,83222,1475450,5410,10476,7622,265886,177301,88585,1979,27,12.59,9.16,18.02,12.02,7.65,Minnesota
37112,43502,630665,3441,6151,4806,110407,89087,21320,1979,28,14.14,11.05,17.51,14.13,9.27,Mississippi
83817,99417,1664419,7339,13013,10340,275315,200994,74321,1979,29,13.09,10.4,16.54,12.08,8.76,Missouri
17972,20477,213306,1890,3168,2568,45210,31580,13630,1979,30,15.47,12.54,21.19,14.81,10.52,Montana
32342,37231,489703,2459,4429,3421,83603,55988,27615,1979,31,11.9,9.19,17.07,11.43,7.6,Nebraska
15730,17955,335212,1691,3593,2351,88453,47612,40841,1979,32,20.01,13.09,26.39,14.2,10.75,Nevada
18429,20618,321337,1445,2878,1992,60232,34456,25776,1979,33,13.96,9.66,18.74,10.72,7.84,New Hampshire
134106,152338,2572143,9675,18958,14189,452124,317176,134948,1979,34,12.44,9.31,17.58,12.33,7.21,New Jersey
23064,26767,337487,2514,4308,3572,75348,52619,22729,1979,35,16.09,13.34,22.33,15.59,10.9,New Mexico
318651,360135,5923136,26864,41589,37062,983455,721958,261497,1979,36,11.55,10.29,16.6,12.19,8.43,New York
92374,111863,2000406,7730,14790,10668,318024,210861,107163,1979,37,13.22,9.54,15.9,10.54,8.37,North Carolina
13905,15736,170946,1101,2202,1538,34463,22002,12461,1979,38,13.99,9.77,20.16,12.87,7.92,North Dakota
159909,198775,3817107,12085,22733,18128,587303,427458,159845,1979,39,11.44,9.12,15.39,11.2,7.56,Ohio
53946,62897,858651,5595,9927,7480,181226,120071,61155,1979,40,15.78,11.89,21.11,13.98,10.37,Oklahoma
52455,60678,840331,5163,9754,7232,165215,125462,39753,1979,41,16.08,11.92,19.66,14.93,9.84,Oregon
182569,218378,4045214,13103,24000,18710,623653,461069,162584,1979,42,10.99,8.57,15.42,11.4,7.18,Pennsylvania
18711,20755,344335,1253,2362,1760,56871,40258,16613,1979,44,11.38,8.48,16.52,11.69,6.7,Rhode Island
45816,54583,973527,4170,7301,5795,149920,111607,38313,1979,45,13.38,10.62,15.4,11.46,9.1,South Carolina
14852,16712,182005,1175,2236,1595,33559,24054,9505,1979,46,13.38,9.54,18.44,13.22,7.91,South Dakota
69909,83450,1458438,6600,11716,9228,247565,184598,62967,1979,47,14.04,11.06,16.97,12.66,9.44,Tennessee
237623,292195,4717112,24893,47394,34050,1026616,724762,301854,1979,48,16.22,11.65,21.76,15.36,10.48,Texas
23934,27736,429437,2694,4422,3697,94371,66430,27941,1979,49,15.94,13.33,21.98,15.47,11.26,Utah
11393,12640,166284,934,1735,1226,27513,19917,7596,1979,50,13.73,9.7,16.55,11.98,8.2,Vermont
79696,96811,1599988,6634,12959,9354,290935,194938,95997,1979,51,13.39,9.66,18.18,12.18,8.32,Virginia
75702,88484,1230639,6959,14008,9956,272650,170389,102261,1979,53,15.83,11.25,22.16,13.85,9.19,Washington
27676,32220,500611,2347,4483,3381,97439,55648,41791,1979,54,13.91,10.49,19.46,11.12,8.48,West Virginia
81741,94547,1625121,5552,10810,7878,243087,171568,71519,1979,55,11.43,8.33,14.96,10.56,6.79,Wisconsin
11018,12349,144211,1099,2118,1511,35302,23774,11528,1979,56,17.15,12.24,24.48,16.49,9.97,Wyoming
55902,67287,1082002,6318,8517,8731,168599,174977,-6378,1980,1,12.66,12.98,15.58,16.17,11.3,Alabama
7327,8649,106933,966,1448,1434,23309,25742,-2433,1980,2,16.74,16.58,21.8,24.07,13.18,Alaska
44624,53951,821557,4791,9092,6712,163757,140760,22997,1980,4,16.85,12.44,19.93,17.13,10.74,Arizona
37412,42910,606620,4107,5542,5479,95475,95073,402,1980,5,12.92,12.77,15.74,15.67,10.98,Arkansas
424709,509799,8261429,44264,78205,62527,1569429,1364214,205215,1980,6,15.34,12.27,19.0,16.51,10.42,California
60585,70462,1057940,6737,11421,9286,205348,174094,31254,1980,8,16.21,13.18,19.41,16.46,11.12,Colorado
59285,67653,1289363,4471,7351,6289,179218,149268,29950,1980,9,10.87,9.3,13.9,11.58,7.54,Connecticut
10353,11948,236826,927,1309,1288,32530,25926,6604,1980,10,10.96,10.78,13.74,10.95,8.95,Delaware
13733,15704,336621,1234,1903,1800,56994,60827,-3833,1980,11,12.12,11.46,16.93,18.07,8.99,District of Columbia
183784,218786,3017020,19416,36071,26239,599606,475954,123652,1980,12,16.49,11.99,19.87,15.78,10.56,Florida
85940,105459,1739664,8864,13936,12510,269318,254685,14633,1980,13,13.21,11.86,15.48,14.64,10.31,Georgia
17605,21187,313419,1502,3124,2136,53986,45191,8795,1980,15,14.74,10.08,17.22,14.42,8.53,Hawaii
17844,20736,246230,2109,2965,2875,43553,43792,-239,1980,16,14.3,13.86,17.69,17.78,11.82,Idaho
182852,214677,4162987,16502,24008,23269,547575,626960,-79385,1980,17,11.18,10.84,13.15,15.06,9.02,Illinois
83694,101162,1815558,7639,10938,10706,215456,297632,-82176,1980,18,10.81,10.58,11.87,16.39,9.13,Indiana
56682,66755,902059,5292,7140,7004,119160,131055,-11895,1980,19,10.7,10.49,13.21,14.53,9.34,Iowa
47691,55719,772908,4474,6354,6066,118544,110644,7900,1980,20,11.4,10.89,15.34,14.32,9.38,Kansas
52898,62433,955634,5344,7200,7185,129915,152594,-22679,1980,21,11.53,11.51,13.59,15.97,10.1,Kentucky
65187,77580,1260953,6671,10386,9084,220427,204435,15992,1980,22,13.39,11.71,17.48,16.21,10.23,Louisiana
20343,23345,322553,1928,2685,2711,45448,43930,1518,1980,23,11.5,11.61,14.09,13.62,9.48,Maine
62605,74857,1296276,5304,8887,7691,214457,185601,28856,1980,24,11.87,10.27,16.54,14.32,8.47,Maryland
99436,115446,2271571,7393,12079,10712,338723,285410,53313,1980,25,10.46,9.28,14.91,12.56,7.43,Massachusetts
130959,157433,2910795,11934,17515,16871,353488,559814,-206326,1980,26,11.13,10.72,12.14,19.23,9.11,Michigan
71638,84438,1487986,5998,9422,8293,222623,210183,12440,1980,27,11.16,9.82,14.96,14.13,8.37,Minnesota
37475,44042,620772,3819,5717,5189,93282,103169,-9887,1980,28,12.98,11.78,15.03,16.62,10.19,Mississippi
83773,99522,1644878,8222,11493,11410,229074,249627,-20553,1980,29,11.55,11.46,13.93,15.18,9.81,Missouri
17985,20486,208751,1921,2697,2692,36637,41250,-4613,1980,30,13.17,13.14,17.55,19.76,10.68,Montana
32349,37334,486149,2983,4100,4007,70813,74664,-3851,1980,31,10.98,10.73,14.57,15.36,9.22,Nebraska
16361,18757,345129,1907,3393,2608,68643,57967,10676,1980,32,18.09,13.9,19.89,16.8,11.66,Nevada
18525,20779,328230,1674,2481,2333,52688,46566,6122,1980,33,11.94,11.23,16.05,14.19,9.04,New Hampshire
136249,154898,2598995,11059,17798,15344,389091,368140,20951,1980,34,11.49,9.91,14.97,14.16,8.12,New Jersey
23254,27024,335534,2671,4019,3770,63011,64711,-1700,1980,35,14.87,13.95,18.78,19.29,11.49,New Mexico
319242,360922,5939404,28729,39470,38861,870635,828506,42129,1980,36,10.94,10.77,14.66,13.95,9.0,New York
92914,112925,2002435,9012,13477,12446,267228,255693,11535,1980,37,11.93,11.02,13.35,12.77,9.7,North Carolina
14029,15950,174162,1296,1952,1749,29958,26837,3121,1980,38,12.24,10.97,17.2,15.41,9.24,North Dakota
159944,199403,3741123,13633,20283,19743,477386,554896,-77510,1980,39,10.17,9.9,12.76,14.83,8.52,Ohio
54901,64091,886961,6008,9370,8120,173609,142065,31544,1980,40,14.62,12.67,19.57,16.02,10.94,Oklahoma
53427,61962,848393,6084,9549,8277,152537,146488,6049,1980,41,15.41,13.36,17.98,17.27,11.39,Oregon
181884,218270,4060494,15287,21314,21526,534727,527093,7634,1980,42,9.76,9.86,13.17,12.98,8.4,Pennsylvania
18766,20799,342233,1502,2119,2071,45121,47241,-2120,1980,44,10.19,9.96,13.18,13.8,8.0,Rhode Island
46271,55305,959563,4573,7098,6387,136859,122067,14792,1980,45,12.83,11.55,14.26,12.72,9.88,South Carolina
14908,16807,181663,1352,1910,1830,29129,29437,-308,1980,46,11.36,10.89,16.03,16.2,9.07,South Dakota
70173,84032,1439425,7321,10579,10011,203994,222195,-18201,1980,47,12.59,11.91,14.17,15.44,10.43,Tennessee
244371,301390,4893194,26366,46354,36964,971533,790917,180616,1980,48,15.38,12.26,19.85,16.16,10.79,Texas
23890,27845,436649,2894,4124,4011,78406,71111,7295,1980,49,14.81,14.4,17.96,16.29,12.11,Utah
11570,12853,166985,1051,1576,1368,24339,23517,822,1980,50,12.26,10.64,14.58,14.08,9.08,Vermont
80524,98104,1630956,7617,11966,10664,247965,217322,30643,1980,51,12.2,10.87,15.2,13.32,9.46,Virginia
76491,89781,1267028,8454,13106,11778,243209,205683,37526,1980,53,14.6,13.12,19.2,16.23,11.05,Washington
27525,32164,484991,2766,3729,3781,66688,81937,-15249,1980,54,11.59,11.76,13.75,16.89,10.05,West Virginia
81920,94994,1615656,6663,9573,9162,200269,210757,-10488,1980,55,10.08,9.64,12.4,13.04,8.13,Wisconsin
11353,12769,151340,1142,2005,1594,32647,25699,6948,1980,56,15.7,12.48,21.57,16.98,10.06,Wyoming
55370,67099,1070067,6269,8309,8490,167433,176020,-8587,1981,1,12.38,12.65,15.65,16.45,11.32,Alabama
7677,9047,119544,814,1648,1244,32893,19995,12898,1981,2,18.22,13.75,27.52,16.73,10.6,Alaska
46265,56249,845184,5222,9463,7119,161214,136322,24892,1981,4,16.82,12.66,19.07,16.13,11.29,Arizona
37051,42812,602283,4076,5441,5480,89612,92631,-3019,1981,5,12.71,12.8,14.88,15.38,11.0,Arkansas
433401,521994,8445877,46806,78300,65847,1581027,1400776,180251,1981,6,15.0,12.61,18.72,16.59,10.8,California
61978,72534,1093310,7192,11787,9641,224003,189086,34917,1981,8,16.25,13.29,20.49,17.29,11.6,Colorado
59775,68381,1300288,4661,7368,6602,176939,164705,12234,1981,9,10.77,9.65,13.61,12.67,7.8,Connecticut
10352,11997,238514,888,1319,1263,32098,27402,4696,1981,10,10.99,10.53,13.46,11.49,8.58,Delaware
13743,15727,343652,1331,1909,1916,54185,47410,6775,1981,11,12.14,12.18,15.77,13.8,9.68,District of Columbia
191886,229411,3181879,20772,38269,27482,658791,494379,164412,1981,12,16.68,11.98,20.7,15.54,10.83,Florida
86874,107268,1786578,9069,14532,12642,307304,259168,48136,1981,13,13.55,11.79,17.2,14.51,10.44,Georgia
18082,21797,321655,1810,3103,2475,57147,48190,8957,1981,15,14.24,11.35,17.77,14.98,10.01,Hawaii
17626,20603,244604,2133,2759,2890,41001,42913,-1912,1981,16,13.39,14.03,16.76,17.54,12.1,Idaho
182492,215172,4094496,16687,23779,23159,551238,623217,-71979,1981,17,11.05,10.76,13.46,15.22,9.14,Illinois
82925,100794,1781470,7717,10388,10703,219179,253073,-33894,1981,18,10.31,10.62,12.3,14.21,9.31,Indiana
56389,66733,883679,5245,6888,6856,123406,141531,-18125,1981,19,10.32,10.27,13.97,16.02,9.3,Iowa
47857,56159,786660,4551,6683,6198,128141,116365,11776,1981,20,11.9,11.04,16.29,14.79,9.51,Kansas
52619,62334,956094,5290,7121,7180,137779,144183,-6404,1981,21,11.42,11.52,14.41,15.08,10.05,Kentucky
66794,79732,1327267,6552,11180,8939,256204,187876,68328,1981,22,14.02,11.21,19.3,14.16,9.81,Louisiana
20239,23330,323569,1934,2629,2622,45200,44142,1058,1981,23,11.27,11.24,13.97,13.64,9.56,Maine
63193,76084,1311520,5408,9049,7768,203146,189525,13621,1981,24,11.89,10.21,15.49,14.45,8.56,Maryland
100388,117108,2326563,7336,12379,10638,361339,318142,43197,1981,25,10.57,9.08,15.53,13.67,7.31,Massachusetts
129729,156719,2833426,12125,17008,17622,380865,461036,-80171,1981,26,10.85,11.24,13.44,16.27,9.35,Michigan
71769,84964,1473964,6047,9292,8673,213255,225412,-12157,1981,27,10.94,10.21,14.47,15.29,8.43,Minnesota
37112,43934,620648,4079,5247,5339,90234,91700,-1466,1981,28,11.94,12.15,14.54,14.77,10.99,Mississippi
83619,99780,1635363,8192,11636,11288,237113,244379,-7266,1981,29,11.66,11.31,14.5,14.94,9.8,Missouri
18123,20650,208873,1877,2745,2577,37943,38033,-90,1981,30,13.29,12.48,18.17,18.21,10.36,Montana
32378,37468,493193,2825,3996,3856,76620,69424,7196,1981,31,10.67,10.29,15.54,14.08,8.73,Nebraska
16899,19493,352483,1991,3444,2683,72543,64561,7982,1981,32,17.67,13.76,20.58,18.32,11.78,Nevada
18762,21132,334215,1670,2638,2274,51503,46508,4995,1981,33,12.48,10.76,15.41,13.92,8.9,New Hampshire
136904,156059,2633402,11727,17644,16412,410900,366291,44609,1981,34,11.31,10.52,15.6,13.91,8.57,New Jersey
23485,27381,342387,2682,4075,3695,69736,61184,8552,1981,35,14.88,13.49,20.37,17.87,11.42,New Mexico
319817,362657,6006224,28537,40218,38316,931560,860572,70988,1981,36,11.09,10.57,15.51,14.33,8.92,New York
93170,113786,2014941,9063,13641,12728,274909,261333,13576,1981,37,11.99,11.19,13.64,12.97,9.73,North Carolina
14141,16170,174905,1234,1901,1664,27978,26950,1028,1981,38,11.76,10.29,16.0,15.41,8.73,North Dakota
159115,199297,3635266,13996,20401,20363,443717,545803,-102086,1981,39,10.24,10.22,12.21,15.01,8.8,Ohio
56360,66085,941105,6176,10163,8110,190449,133066,57383,1981,40,15.38,12.27,20.24,14.14,10.96,Oklahoma
53563,62217,826902,6255,8915,8606,134583,154194,-19611,1981,41,14.33,13.83,16.28,18.65,11.68,Oregon
179335,217034,4014238,15582,20743,21890,507223,548156,-40933,1981,42,9.56,10.09,12.64,13.66,8.69,Pennsylvania
18750,20878,340879,1493,2158,2074,48303,48194,109,1981,44,10.34,9.93,14.17,14.14,7.96,Rhode Island
46565,56112,966181,4659,7198,6368,140806,134676,6130,1981,45,12.83,11.35,14.57,13.94,10.01,South Carolina
14685,16636,176738,1385,1763,1915,24030,28704,-4674,1981,46,10.6,11.51,13.6,16.24,9.43,South Dakota
69769,84142,1426015,7531,10307,10140,207346,219242,-11896,1981,47,12.25,12.05,14.54,15.37,10.79,Tennessee
252337,313604,5178089,26944,50097,37520,1062286,770244,292042,1981,48,15.97,11.96,20.52,14.88,10.68,Texas
24171,28514,432554,2851,4571,3890,80868,88874,-8006,1981,49,16.03,13.64,18.7,20.55,11.8,Utah
11620,12938,170041,1031,1509,1417,25031,21395,3636,1981,50,11.66,10.95,14.72,12.58,8.87,Vermont
80976,99461,1663628,7768,12246,10828,257862,224992,32870,1981,51,12.31,10.89,15.5,13.52,9.59,Virginia
77173,91176,1277677,8267,12913,11486,226536,213711,12825,1981,53,14.16,12.6,17.73,16.73,10.71,Washington
27227,32075,485348,2863,3792,3859,67046,68407,-1361,1981,54,11.82,12.03,13.81,14.09,10.52,West Virginia
82168,95685,1585494,6371,9481,8706,195608,223776,-28168,1981,55,9.91,9.1,12.34,14.11,7.75,Wisconsin
11668,13204,159782,1206,2074,1623,35849,26952,8897,1981,56,15.71,12.29,22.44,16.87,10.34,Wyoming
53714,65802,1044027,6600,7771,9131,157072,188371,-31299,1982,1,11.81,13.88,15.04,18.04,12.29,Alabama
8115,9585,130776,884,1855,1319,38111,28335,9776,1982,2,19.35,13.76,29.14,21.67,10.89,Alaska
47214,57938,848033,5775,9573,7909,160117,157502,2615,1982,4,16.52,13.65,18.88,18.57,12.23,Arizona
36447,42425,582912,4247,5465,5840,84406,103941,-19535,1982,5,12.88,13.77,14.48,17.83,11.65,Arkansas
430722,523050,8334896,51705,74204,73319,1491715,1584490,-92775,1982,6,14.19,14.02,17.9,19.01,12.0,California
63007,74344,1121586,7456,12047,10260,229288,201451,27837,1982,8,16.2,13.8,20.44,17.96,11.83,Colorado
59662,68564,1290857,5035,7280,7100,173743,183934,-10191,1982,9,10.62,10.36,13.46,14.25,8.44,Connecticut
10382,12010,240438,929,1360,1355,31892,30355,1537,1982,10,11.32,11.28,13.26,12.62,8.95,Delaware
13729,15761,328927,1433,2055,2088,48509,68181,-19672,1982,11,13.04,13.25,14.75,20.73,10.44,District of Columbia
194370,234182,3197201,23953,36836,32145,615551,607209,8342,1982,12,15.73,13.73,19.25,18.99,12.32,Florida
86244,107421,1784828,9651,13855,13763,288390,293483,-5093,1982,13,12.9,12.81,16.16,16.44,11.19,Georgia
17949,21814,312384,1977,2779,2779,50250,58881,-8631,1982,15,12.74,12.74,16.09,18.85,11.01,Hawaii
17239,20319,236391,2116,2695,2982,40331,48860,-8529,1982,16,13.26,14.68,17.06,20.67,12.27,Idaho
180203,213524,3910025,17472,23175,24789,507235,669922,-162687,1982,17,10.85,11.61,12.97,17.13,9.7,Illinois
81622,99825,1698022,7970,10338,11330,202719,286245,-83526,1982,18,10.36,11.35,11.94,16.86,9.76,Indiana
54670,65192,842576,5775,6294,7858,104223,145389,-41166,1982,19,9.65,12.05,12.37,17.26,10.56,Iowa
47375,55909,771424,5018,6619,6883,111997,129769,-17772,1982,20,11.84,12.31,14.52,16.82,10.59,Kansas
52028,62063,938650,5676,7429,7706,137946,155829,-17883,1982,21,11.97,12.42,14.7,16.6,10.91,Kentucky
68122,81680,1337587,7058,11452,9560,253960,243401,10559,1982,22,14.02,11.7,18.99,18.2,10.36,Louisiana
19912,23067,323735,1950,2498,2760,50610,50255,355,1982,23,10.83,11.97,15.63,15.52,9.79,Maine
63194,76553,1311035,5854,9068,8605,210966,212443,-1477,1982,24,11.85,11.24,16.09,16.2,9.26,Maryland
100473,117817,2324319,8213,12403,11742,317053,332836,-15783,1982,25,10.53,9.97,13.64,14.32,8.17,Massachusetts
126896,154341,2689921,12845,16494,18891,369065,471410,-102345,1982,26,10.69,12.24,13.72,17.53,10.12,Michigan
71090,84708,1443060,6634,9105,9427,202420,233478,-31058,1982,27,10.75,11.13,14.03,16.18,9.33,Minnesota
36062,43084,607691,4187,5036,5901,86113,101092,-14979,1982,28,11.69,13.7,14.17,16.64,11.61,Mississippi
81824,98383,1610759,8813,11145,12568,233651,255433,-21782,1982,29,11.33,12.77,14.51,15.86,10.77,Missouri
17893,20489,203505,1990,2675,2838,36238,41493,-5255,1982,30,13.06,13.85,17.81,20.39,11.12,Montana
31870,37028,475086,3088,3902,4352,64593,81874,-17281,1982,31,10.54,11.75,13.6,17.23,9.69,Nebraska
17046,19833,353847,2105,3314,2980,74520,72395,2125,1982,32,16.71,15.03,21.06,20.46,12.35,Nevada
18770,21225,343956,1745,2621,2522,62794,53137,9657,1982,33,12.35,11.88,18.26,15.45,9.3,New Hampshire
136674,156332,2613277,12230,17366,17080,399896,403842,-3946,1982,34,11.11,10.93,15.3,15.45,8.95,New Jersey
